recommended_structure,roof_area,region,installation_cost,payback_period
Recharge Pit,22.66,Rajasthan,5399.46,15.88
Recharge Well,33.01,Tamil Nadu,17903.43,15.07
Rainwater Barrel,16.72,Gujarat,2671.82,10.65
Cistern,59.84,West Bengal,19959.35,5.93
Infiltration Trench,25.71,Maharashtra,9142.71,8.47
Cistern,26.41,Rajasthan,11602.67,23.43
Rainwater Barrel,12.51,Tamil Nadu,2251.5,8.0
Rainwater Barrel,25.7,Punjab,3570.41,7.94
Rainwater Barrel,76.8,Gujarat,8679.67,7.53
Rainwater Barrel,44.96,Gujarat,5495.94,8.15
Recharge Pit,57.66,Punjab,10648.44,8.79
Infiltration Trench,35.1,Maharashtra,11020.73,7.47
Rainwater Barrel,10.0,Delhi NCR,2000.0,10.0
Rainwater Barrel,34.29,Tamil Nadu,4428.82,5.74
Recharge Well,36.62,Punjab,18986.13,18.52
Infiltration Trench,51.82,West Bengal,14364.45,5.28
Cistern,32.51,Gujarat,13128.17,17.95
Infiltration Trench,22.51,West Bengal,8502.65,7.19
Infiltration Trench,31.51,Tamil Nadu,10302.6,10.38
Infiltration Trench,27.91,Maharashtra,9581.36,8.17
Rainwater Barrel,43.03,Tamil Nadu,5302.68,5.48
Rainwater Barrel,31.55,West Bengal,4154.81,3.51
Recharge Pit,20.18,West Bengal,5027.72,5.54
Cistern,43.97,Delhi NCR,15991.87,12.12
Recharge Well,22.89,Gujarat,14866.12,27.06
Infiltration Trench,28.28,Rajasthan,9655.13,19.51
Cistern,26.26,Delhi NCR,11564.96,14.68
Cistern,37.29,Delhi NCR,14321.44,12.8
Recharge Pit,16.68,Rajasthan,4502.37,17.99
Recharge Well,33.65,Rajasthan,18095.41,26.89
Infiltration Trench,56.84,Maharashtra,15367.76,6.44
Recharge Well,34.74,Maharashtra,18421.94,11.05
Recharge Pit,23.72,Delhi NCR,5557.88,9.76
Rainwater Barrel,27.58,Tamil Nadu,3758.23,6.06
Cistern,38.39,Punjab,14598.24,14.49
Infiltration Trench,43.82,Punjab,12764.51,11.89
Rainwater Barrel,70.24,Delhi NCR,8024.35,5.71
Recharge Pit,14.69,Tamil Nadu,4203.42,10.6
Recharge Well,37.78,Rajasthan,19333.31,25.59
Cistern,36.33,Karnataka,14082.98,10.34
Infiltration Trench,32.03,Delhi NCR,10405.66,11.6
Rainwater Barrel,39.56,Gujarat,4955.61,8.35
Rainwater Barrel,29.52,Tamil Nadu,3952.48,5.95
Cistern,20.1,Gujarat,10024.36,22.17
Recharge Well,36.85,Gujarat,19053.98,21.55
Recharge Pit,45.82,Delhi NCR,8872.36,8.07
Recharge Well,32.34,Tamil Nadu,17702.37,15.2
Recharge Well,56.24,Gujarat,24872.73,18.43
Recharge Well,29.41,Maharashtra,16822.71,11.92
Cistern,41.69,West Bengal,15422.73,6.58
Cistern,15.02,Maharashtra,8754.05,12.95
Recharge Pit,101.62,Tamil Nadu,17242.62,6.28
Recharge Well,29.55,Punjab,16866.12,20.38
Cistern,25.94,West Bengal,11485.78,7.87
Recharge Pit,29.0,Karnataka,6349.25,7.3
Recharge Pit,20.61,Gujarat,5090.98,13.73
Recharge Well,18.46,Gujarat,13538.75,30.55
Infiltration Trench,33.8,Tamil Nadu,10760.41,10.11
Recharge Well,35.06,Maharashtra,18517.97,11.0
Infiltration Trench,37.04,Karnataka,11407.55,8.8
Recharge Pit,32.56,Punjab,6883.73,10.07
Cistern,31.77,Gujarat,12941.97,18.11
Rainwater Barrel,18.15,Delhi NCR,2814.62,7.76
Recharge Pit,25.95,Maharashtra,5893.06,6.31
Cistern,35.9,Tamil Nadu,13974.1,11.53
Recharge Pit,25.3,Tamil Nadu,5794.34,8.48
Recharge Well,38.32,Maharashtra,19497.29,10.6
Infiltration Trench,30.95,Gujarat,10190.14,15.68
Recharge Pit,30.83,Punjab,6624.74,10.23
Cistern,36.73,Gujarat,14182.87,17.16
Recharge Well,42.21,Maharashtra,20661.92,10.2
Rainwater Barrel,47.18,West Bengal,5718.19,3.23
Recharge Well,89.26,Rajasthan,34777.14,19.48
Infiltration Trench,51.0,Gujarat,14200.67,13.26
Recharge Well,15.8,Karnataka,12738.9,20.16
Rainwater Barrel,19.26,West Bengal,2926.07,4.05
Cistern,28.87,Maharashtra,12216.59,9.4
Recharge Pit,22.61,West Bengal,5392.01,5.3
Infiltration Trench,40.26,Karnataka,12051.11,8.55
Rainwater Barrel,42.45,West Bengal,5244.87,3.29
Infiltration Trench,26.0,West Bengal,9200.77,6.74
Recharge Well,60.03,Maharashtra,26008.88,9.03
Infiltration Trench,68.52,Rajasthan,17703.65,14.76
Rainwater Barrel,13.38,Karnataka,2338.43,6.99
Recharge Pit,16.21,Karnataka,4431.34,9.11
Recharge Pit,57.32,Delhi NCR,10597.75,7.7
Infiltration Trench,51.16,Tamil Nadu,14231.56,8.83
Cistern,42.58,Karnataka,15644.37,9.8
Infiltration Trench,33.3,Tamil Nadu,10659.42,10.16
Recharge Well,31.45,Maharashtra,17435.4,11.55
Recharge Pit,43.31,Punjab,8495.96,9.34
Recharge Pit,36.17,Gujarat,7425.54,11.41
Recharge Pit,63.68,Delhi NCR,11551.91,7.56
Cistern,23.56,Maharashtra,10888.99,10.27
Cistern,33.41,Rajasthan,13353.69,21.31
Rainwater Barrel,51.69,Punjab,6168.5,6.82
Infiltration Trench,35.95,West Bengal,11190.58,5.93
Infiltration Trench,46.37,Delhi NCR,13273.32,10.22
Recharge Well,46.03,Delhi NCR,21809.24,14.81
Recharge Pit,26.78,Maharashtra,6016.7,6.24
Cistern,19.88,Rajasthan,9969.76,26.75
Recharge Well,22.79,Rajasthan,14835.54,32.56
Recharge Well,19.26,Tamil Nadu,13778.5,19.87
Cistern,13.09,Gujarat,8273.02,28.08
Infiltration Trench,57.16,Maharashtra,15432.3,6.43
Recharge Pit,12.9,Punjab,3934.54,14.53
Infiltration Trench,83.99,Gujarat,20798.54,11.79
Recharge Well,25.43,Punjab,15630.35,21.95
Recharge Pit,28.81,Delhi NCR,6321.93,9.14
Rainwater Barrel,15.53,Karnataka,2552.66,6.58
Recharge Well,40.14,Karnataka,20040.92,12.48
Infiltration Trench,29.07,Maharashtra,9813.11,8.04
Infiltration Trench,34.14,Rajasthan,10828.54,18.12
Infiltration Trench,22.34,Rajasthan,8468.27,21.66
Cistern,42.12,West Bengal,15528.79,6.56
Recharge Well,21.93,Delhi NCR,14580.22,20.77
Recharge Pit,34.45,Delhi NCR,7166.85,8.67
Infiltration Trench,41.72,Punjab,12344.09,12.08
Infiltration Trench,68.42,Delhi NCR,17683.85,9.23
Cistern,49.55,West Bengal,17387.11,6.24
Recharge Pit,34.64,Maharashtra,7195.64,5.77
Recharge Well,32.98,Punjab,17895.13,19.38
Rainwater Barrel,38.73,Gujarat,4873.35,8.39
Cistern,48.59,Rajasthan,17146.75,18.82
Recharge Well,22.82,Rajasthan,14847.42,32.52
Rainwater Barrel,52.02,Karnataka,6201.88,4.77
Infiltration Trench,20.73,Karnataka,8145.67,11.23
Infiltration Trench,41.6,West Bengal,12320.47,5.64
Recharge Pit,43.41,Maharashtra,8511.65,5.45
Rainwater Barrel,23.67,Rajasthan,3367.02,11.38
Infiltration Trench,15.31,West Bengal,7062.93,8.78
Infiltration Trench,29.01,Maharashtra,9802.43,8.04
Recharge Pit,10.0,Gujarat,3500.0,19.44
Recharge Well,30.29,Gujarat,17087.0,23.5
Infiltration Trench,17.74,Tamil Nadu,7548.2,13.51
Cistern,157.06,Punjab,44264.92,10.74
Cistern,56.22,Karnataka,19056.05,9.04
Recharge Well,34.33,Punjab,18299.83,19.04
Rainwater Barrel,64.47,Karnataka,7447.03,4.62
Recharge Pit,47.11,Tamil Nadu,9066.73,7.13
Cistern,18.51,Rajasthan,9627.12,27.74
Cistern,24.22,West Bengal,11055.63,8.11
Recharge Well,55.41,Maharashtra,24622.56,9.26
Rainwater Barrel,20.49,Punjab,3048.58,8.5
Rainwater Barrel,40.35,Karnataka,5035.27,4.99
Recharge Well,46.4,Punjab,21921.11,16.87
Cistern,29.07,Rajasthan,12267.29,22.51
Recharge Pit,35.74,Maharashtra,7360.43,5.72
Cistern,50.19,Delhi NCR,17548.52,11.65
Rainwater Barrel,49.01,Karnataka,5901.1,4.82
Cistern,41.43,West Bengal,15358.36,6.59
Recharge Pit,32.9,Delhi NCR,6935.25,8.78
Infiltration Trench,44.42,Tamil Nadu,12883.89,9.21
Cistern,12.05,Maharashtra,8013.0,14.77
Recharge Well,69.25,Gujarat,28776.39,17.31
Infiltration Trench,30.99,Punjab,10198.35,13.43
Recharge Well,22.93,Karnataka,14879.48,16.22
Recharge Well,44.69,West Bengal,21406.76,7.98
Recharge Well,44.07,Punjab,21220.15,17.2
Cistern,20.32,Tamil Nadu,10080.92,14.7
Rainwater Barrel,34.25,Tamil Nadu,4425.29,5.74
Infiltration Trench,33.74,Punjab,10747.89,13.0
Recharge Pit,32.66,Karnataka,6898.46,7.04
Rainwater Barrel,74.59,West Bengal,8459.03,3.02
Cistern,32.78,Maharashtra,13195.85,8.94
Recharge Well,31.03,Rajasthan,17309.87,27.89
Recharge Pit,23.57,Maharashtra,5534.94,6.52
Infiltration Trench,21.92,Rajasthan,8384.79,21.85
Rainwater Barrel,40.29,West Bengal,5028.67,3.33
Rainwater Barrel,26.18,Gujarat,3618.25,9.21
Recharge Pit,30.15,Maharashtra,6521.82,6.01
Cistern,36.56,West Bengal,14141.18,6.88
Infiltration Trench,34.19,Punjab,10837.4,12.94
Recharge Pit,35.43,Punjab,7314.08,9.83
Recharge Well,35.36,Karnataka,18608.82,13.16
Infiltration Trench,45.25,Punjab,13050.88,11.77
Rainwater Barrel,124.03,Karnataka,13402.9,4.32
Recharge Pit,61.23,West Bengal,11184.67,4.06
Rainwater Barrel,27.63,Punjab,3762.87,7.78
Rainwater Barrel,60.81,Tamil Nadu,7080.99,5.18
Rainwater Barrel,19.55,Delhi NCR,2955.25,7.56
Cistern,24.95,West Bengal,11237.48,8.01
Rainwater Barrel,47.16,Punjab,5715.51,6.93
Recharge Well,46.43,Delhi NCR,21928.82,14.76
Recharge Well,44.74,Rajasthan,21420.66,23.94
Infiltration Trench,24.65,Gujarat,8930.37,17.25
Rainwater Barrel,24.74,Maharashtra,3473.65,4.68
Rainwater Barrel,35.36,Maharashtra,4535.98,4.28
Recharge Pit,29.19,West Bengal,6378.63,4.86
Cistern,51.63,Rajasthan,17907.31,18.5
Infiltration Trench,28.83,Punjab,9765.52,13.83
Rainwater Barrel,28.41,Maharashtra,3840.58,4.51
Recharge Pit,14.69,Karnataka,4203.31,9.54
Cistern,51.3,Rajasthan,17824.67,18.53
Infiltration Trench,38.91,Tamil Nadu,11781.51,9.61
Infiltration Trench,10.56,Delhi NCR,6111.84,20.67
Rainwater Barrel,41.37,Karnataka,5136.81,4.97
Infiltration Trench,27.1,Maharashtra,9419.34,8.28
Recharge Pit,48.81,Karnataka,9321.77,6.37
Infiltration Trench,31.42,Punjab,10284.0,13.36
Recharge Well,22.15,Tamil Nadu,14644.84,18.37
Recharge Pit,78.61,Delhi NCR,13791.79,7.31
Cistern,72.67,Tamil Nadu,23168.51,9.45
Cistern,30.18,Rajasthan,12544.85,22.17
Rainwater Barrel,39.9,Punjab,4989.77,7.15
Rainwater Barrel,26.32,Karnataka,3632.15,5.52
Recharge Well,14.11,Karnataka,12232.46,21.68
Cistern,64.0,Rajasthan,20999.45,17.5
Cistern,22.22,Karnataka,10555.76,12.67
Cistern,62.6,Gujarat,20650.08,14.66
Cistern,46.93,Punjab,16732.0,13.58
Infiltration Trench,38.23,Rajasthan,11645.69,17.41
Recharge Pit,32.44,Punjab,6866.73,10.08
Recharge Pit,47.03,Delhi NCR,9054.04,8.02
Recharge Well,20.8,Punjab,14239.02,24.45
Infiltration Trench,64.54,Punjab,16907.01,10.69
Cistern,35.57,Delhi NCR,13893.4,13.02
Cistern,69.93,Rajasthan,22482.81,17.15
Rainwater Barrel,31.15,Punjab,4115.1,7.55
Rainwater Barrel,35.56,Tamil Nadu,4556.11,5.69
Recharge Well,37.79,Punjab,19335.89,18.28
Cistern,44.17,Rajasthan,16042.01,19.37
Recharge Well,81.89,West Bengal,32568.47,6.63
Infiltration Trench,26.6,Karnataka,9320.29,10.01
Recharge Pit,31.06,Maharashtra,6659.6,5.96
Cistern,32.8,Delhi NCR,13199.62,13.41
Infiltration Trench,10.4,Karnataka,6080.98,16.7
Cistern,25.09,Rajasthan,11272.98,23.96
Rainwater Barrel,25.92,Gujarat,3592.16,9.24
Recharge Well,123.85,Maharashtra,45154.26,7.6
Rainwater Barrel,37.68,Karnataka,4768.4,5.06
Recharge Pit,42.38,Punjab,8357.41,9.39
Rainwater Barrel,15.89,Maharashtra,2588.96,5.43
Cistern,32.09,Punjab,13023.23,15.46
Rainwater Barrel,52.88,Delhi NCR,6288.13,5.95
Cistern,116.55,Punjab,34137.58,11.16
Recharge Pit,23.52,Maharashtra,5528.0,6.53
Rainwater Barrel,13.36,Tamil Nadu,2335.93,7.77
Recharge Well,22.47,Tamil Nadu,14741.91,18.22
Recharge Well,22.52,West Bengal,14755.55,10.92
Recharge Well,22.62,Karnataka,14787.2,16.34
Rainwater Barrel,52.13,Rajasthan,6213.07,9.53
Rainwater Barrel,39.31,West Bengal,4930.66,3.35
Rainwater Barrel,18.84,Delhi NCR,2883.64,7.65
Cistern,67.23,Gujarat,21807.2,14.42
Recharge Pit,85.33,West Bengal,14799.4,3.85
Recharge Well,14.12,Karnataka,12235.59,21.67
Cistern,59.67,Rajasthan,19917.42,17.8
Recharge Well,30.42,Delhi NCR,17124.55,17.59
Cistern,20.68,Maharashtra,10169.1,10.93
Rainwater Barrel,16.0,Delhi NCR,2599.7,8.13
Recharge Well,26.41,Maharashtra,15921.93,12.56
Rainwater Barrel,25.51,Karnataka,3551.0,5.57
Recharge Well,35.65,Rajasthan,18694.98,26.22
Infiltration Trench,96.84,West Bengal,23367.25,4.6
Cistern,25.69,Rajasthan,11422.1,23.71
Infiltration Trench,16.39,Punjab,7278.15,18.12
Cistern,28.08,Gujarat,12018.97,19.03
Recharge Pit,55.76,Tamil Nadu,10363.55,6.88
Recharge Well,29.26,Punjab,16777.45,20.48
Recharge Pit,45.87,Delhi NCR,8880.0,8.07
Recharge Pit,36.05,Gujarat,7407.99,11.42
Cistern,34.14,Gujarat,13535.96,17.62
Infiltration Trench,73.23,Rajasthan,18646.11,14.55
Rainwater Barrel,20.41,Gujarat,3040.82,9.93
Cistern,19.68,Karnataka,9920.33,13.44
Rainwater Barrel,21.02,Gujarat,3102.27,9.84
Recharge Pit,39.36,Delhi NCR,7903.47,8.37
Rainwater Barrel,34.01,Karnataka,4401.21,5.18
Infiltration Trench,47.23,Karnataka,13446.34,8.13
Cistern,31.88,Punjab,12969.98,15.5
Infiltration Trench,30.03,Gujarat,10006.01,15.87
Infiltration Trench,39.04,Rajasthan,11807.93,17.28
Cistern,77.34,Maharashtra,24335.34,6.99
Infiltration Trench,18.52,Punjab,7704.01,16.98
Recharge Well,20.9,Rajasthan,14271.08,34.14
Recharge Well,33.8,Gujarat,18140.89,22.36
Recharge Well,91.49,Punjab,35447.2,13.84
Rainwater Barrel,19.38,Gujarat,2937.87,10.11
Infiltration Trench,32.95,Delhi NCR,10590.07,11.48
Cistern,21.36,Punjab,10338.82,18.44
Cistern,40.41,Rajasthan,15102.62,19.93
Rainwater Barrel,11.8,Delhi NCR,2179.73,9.24
Cistern,19.73,Tamil Nadu,9931.38,14.92
Recharge Well,62.75,Rajasthan,26825.25,21.37
Infiltration Trench,33.27,Maharashtra,10654.03,7.62
Cistern,22.81,West Bengal,10703.23,8.34
Cistern,32.37,Gujarat,13091.39,17.98
Recharge Pit,32.08,Rajasthan,6812.58,14.16
Recharge Pit,43.83,Tamil Nadu,8575.06,7.25
Recharge Pit,11.73,Rajasthan,3759.43,21.37
Infiltration Trench,19.72,Delhi NCR,7944.13,14.39
Recharge Well,20.54,Karnataka,14163.16,17.24
Recharge Well,45.36,West Bengal,21609.09,7.94
Recharge Well,33.01,Rajasthan,17903.34,27.12
Infiltration Trench,68.05,Punjab,17610.78,10.56
Infiltration Trench,50.13,Maharashtra,14025.51,6.66
Recharge Pit,27.86,Tamil Nadu,6178.4,8.21
Cistern,32.31,Rajasthan,13076.29,21.59
Rainwater Barrel,63.24,Tamil Nadu,7324.03,5.15
Rainwater Barrel,67.8,Karnataka,7780.31,4.59
Cistern,31.57,Delhi NCR,12892.13,13.61
Recharge Pit,20.24,Punjab,5035.46,11.85
Cistern,11.58,Gujarat,7895.84,30.3
Cistern,11.58,Rajasthan,7895.49,36.36
Rainwater Barrel,41.93,Delhi NCR,5193.17,6.19
Recharge Pit,41.51,West Bengal,8226.88,4.4
Infiltration Trench,23.62,Tamil Nadu,8724.98,11.72
Rainwater Barrel,63.48,Karnataka,7348.12,4.63
Infiltration Trench,29.86,Maharashtra,9972.05,7.95
Recharge Pit,24.68,Tamil Nadu,5701.29,8.56
Cistern,59.48,Maharashtra,19869.12,7.42
Recharge Well,55.66,Karnataka,24698.31,11.09
Recharge Well,32.27,Maharashtra,17681.62,11.41
Recharge Pit,42.9,Karnataka,8434.32,6.55
Recharge Well,45.69,Delhi NCR,21706.69,14.85
Infiltration Trench,98.26,Rajasthan,23652.32,13.75
Recharge Well,31.02,Gujarat,17304.68,23.25
Recharge Pit,18.36,Rajasthan,4753.7,17.26
Recharge Pit,45.27,West Bengal,8791.14,4.32
Infiltration Trench,34.16,West Bengal,10832.36,6.04
Recharge Well,35.03,Punjab,18508.52,18.87
Recharge Well,32.6,Rajasthan,17780.75,27.27
Cistern,14.94,Karnataka,8736.1,15.59
Rainwater Barrel,37.74,Karnataka,4773.88,5.06
Recharge Pit,27.67,Punjab,6150.8,10.58
Cistern,28.37,Tamil Nadu,12093.45,12.63
Recharge Pit,27.14,Karnataka,6070.6,7.46
Cistern,32.47,Punjab,13118.17,15.39
Rainwater Barrel,37.72,Karnataka,4772.13,5.06
Cistern,32.63,Gujarat,13158.44,17.92
Recharge Pit,58.99,Karnataka,10848.85,6.13
Recharge Well,48.33,Delhi NCR,22499.46,14.55
Recharge Pit,31.93,Punjab,6789.04,10.13
Infiltration Trench,19.73,Maharashtra,7946.68,9.59
Infiltration Trench,44.27,West Bengal,12853.62,5.53
Infiltration Trench,28.29,Rajasthan,9658.22,19.51
Infiltration Trench,30.41,Punjab,10081.12,13.53
Rainwater Barrel,17.13,Tamil Nadu,2712.7,7.04
Recharge Well,40.72,Karnataka,20216.81,12.41
Recharge Well,121.11,Punjab,44332.77,13.07
Recharge Pit,25.71,Gujarat,5856.41,12.66
Cistern,45.21,Punjab,16302.31,13.74
Recharge Pit,61.74,Gujarat,11260.98,10.13
Recharge Pit,25.5,West Bengal,5824.36,5.08
Recharge Pit,10.0,West Bengal,3500.0,7.78
Recharge Pit,46.89,Karnataka,9033.16,6.42
Recharge Well,34.46,Rajasthan,18336.52,26.61
Cistern,38.69,Karnataka,14673.33,10.11
Recharge Pit,34.04,Tamil Nadu,7105.55,7.73
Recharge Well,59.14,Delhi NCR,25741.9,13.6
Recharge Pit,31.54,Rajasthan,6730.91,14.23
Infiltration Trench,98.05,Rajasthan,23609.31,13.76
Recharge Pit,46.95,West Bengal,9042.09,4.28
Recharge Pit,54.91,Delhi NCR,10236.89,7.77
Rainwater Barrel,33.22,Punjab,4322.44,7.43
Infiltration Trench,38.68,Karnataka,11736.77,8.67
Cistern,14.23,Punjab,8556.89,22.91
Recharge Pit,24.82,Punjab,5722.47,10.98
Cistern,56.76,Karnataka,19189.93,9.02
Infiltration Trench,32.03,Tamil Nadu,10405.29,10.31
Recharge Pit,18.87,Rajasthan,4830.46,17.07
Rainwater Barrel,23.52,Gujarat,3352.1,9.5
Recharge Well,23.43,Delhi NCR,15027.89,20.05
Rainwater Barrel,32.48,Rajasthan,4247.72,10.46
Rainwater Barrel,21.82,Punjab,3182.15,8.33
Recharge Well,67.46,Delhi NCR,28237.92,13.08
Recharge Well,36.75,Gujarat,19024.61,21.57
Recharge Well,16.48,Rajasthan,12944.47,39.27
Recharge Pit,71.38,Rajasthan,12707.56,11.87
Cistern,32.37,Tamil Nadu,13091.5,11.98
Cistern,42.65,Rajasthan,15662.17,19.59
Recharge Well,38.6,Rajasthan,19581.37,25.36
Rainwater Barrel,40.8,Gujarat,5080.12,8.3
Infiltration Trench,27.89,Gujarat,9577.87,16.35
Recharge Well,39.07,Delhi NCR,19721.31,15.77
Rainwater Barrel,30.73,Punjab,4073.44,7.57
Rainwater Barrel,39.69,Gujarat,4968.81,8.35
Recharge Pit,30.18,Delhi NCR,6526.81,9.01
Recharge Pit,28.65,Rajasthan,6296.75,14.65
Cistern,15.94,West Bengal,8985.61,10.02
Cistern,33.03,Delhi NCR,13257.35,13.38
Infiltration Trench,37.05,West Bengal,11410.29,5.87
Infiltration Trench,83.47,Delhi NCR,20693.16,8.85
Infiltration Trench,42.08,Delhi NCR,12416.93,10.54
Infiltration Trench,23.05,West Bengal,8609.97,7.11
Rainwater Barrel,19.94,Karnataka,2993.87,6.01
Rainwater Barrel,37.85,Delhi NCR,4785.33,6.32
Cistern,22.82,West Bengal,10704.37,8.34
Recharge Pit,24.92,Gujarat,5738.34,12.79
Recharge Pit,22.78,Maharashtra,5417.18,6.61
Recharge Well,28.1,Maharashtra,16429.47,12.18
Rainwater Barrel,47.85,Maharashtra,5784.95,4.03
Infiltration Trench,12.24,Maharashtra,6448.91,12.54
Infiltration Trench,63.26,Karnataka,16652.91,7.52
Recharge Well,29.9,Punjab,16970.66,20.27
Recharge Pit,24.12,West Bengal,5617.7,5.18
Infiltration Trench,51.62,Delhi NCR,14323.7,9.91
Recharge Pit,29.87,Tamil Nadu,6480.59,8.04
Recharge Well,19.62,Maharashtra,13886.13,14.74
Recharge Pit,15.47,Rajasthan,4320.92,18.62
Recharge Pit,46.89,Maharashtra,9032.92,5.35
Recharge Pit,48.42,Maharashtra,9262.68,5.31
Infiltration Trench,26.94,Rajasthan,9387.27,19.91
Cistern,64.11,Karnataka,21028.49,8.75
Rainwater Barrel,33.71,Rajasthan,4371.41,10.37
Recharge Pit,64.33,Rajasthan,11649.27,12.07
Recharge Pit,20.52,Karnataka,5077.74,8.25
Recharge Pit,19.3,Rajasthan,4894.99,16.91
Cistern,25.61,Delhi NCR,11403.73,14.84
Recharge Well,27.12,Maharashtra,16135.56,12.4
Infiltration Trench,58.88,Punjab,15776.49,10.94
Cistern,38.35,Karnataka,14586.7,10.14
Recharge Pit,22.65,Tamil Nadu,5398.24,8.83
Cistern,33.3,Karnataka,13325.18,10.67
Cistern,26.74,Gujarat,11683.75,19.42
Cistern,22.16,Tamil Nadu,10539.07,14.09
Recharge Well,31.82,Gujarat,17546.33,22.98
Rainwater Barrel,30.1,West Bengal,4010.14,3.55
Infiltration Trench,22.58,West Bengal,8516.43,7.18
Recharge Well,22.46,Karnataka,14738.55,16.4
Recharge Well,49.76,Gujarat,22929.3,19.2
Rainwater Barrel,40.92,Tamil Nadu,5092.36,5.53
Recharge Well,53.08,Delhi NCR,23924.54,14.08
Cistern,28.74,Karnataka,12183.81,11.31
Cistern,19.22,Karnataka,9805.87,13.6
Recharge Pit,24.85,Rajasthan,5728.21,15.36
Recharge Well,55.35,Karnataka,24604.67,11.11
Recharge Pit,14.88,Maharashtra,4231.51,7.9
Infiltration Trench,68.19,West Bengal,17638.78,4.93
Cistern,19.01,Maharashtra,9752.29,11.4
Infiltration Trench,48.9,Karnataka,13780.6,8.05
Rainwater Barrel,19.88,West Bengal,2988.11,4.01
Cistern,24.59,West Bengal,11147.97,8.06
Infiltration Trench,11.84,Delhi NCR,6367.47,19.21
Rainwater Barrel,83.67,Rajasthan,9367.16,8.96
Infiltration Trench,44.14,Punjab,12828.43,11.86
Rainwater Barrel,45.46,Gujarat,5546.07,8.13
Rainwater Barrel,25.88,Tamil Nadu,3588.25,6.16
Cistern,20.79,Punjab,10198.28,18.68
Recharge Pit,48.83,Rajasthan,9323.92,12.73
Rainwater Barrel,18.15,Maharashtra,2814.58,5.17
Rainwater Barrel,30.46,Maharashtra,4046.07,4.43
Cistern,17.72,Maharashtra,9429.74,11.83
Recharge Pit,35.23,Delhi NCR,7284.9,8.62
Recharge Well,12.7,West Bengal,11809.78,15.5
Recharge Well,15.8,Maharashtra,12738.58,16.8
Recharge Pit,21.54,Tamil Nadu,5231.58,8.99
Infiltration Trench,45.03,Gujarat,13006.43,13.75
Cistern,25.39,Karnataka,11347.41,11.92
Recharge Pit,54.15,Karnataka,10122.83,6.23
Recharge Well,70.13,Punjab,29038.97,14.79
Rainwater Barrel,28.38,Gujarat,3837.98,9.02
Recharge Well,15.81,Rajasthan,12743.63,40.3
Rainwater Barrel,53.67,Gujarat,6366.92,7.91
Cistern,15.32,Delhi NCR,8830.22,19.21
Rainwater Barrel,21.08,Punjab,3108.09,8.42
Recharge Pit,14.15,Punjab,4121.98,13.88
Rainwater Barrel,53.6,Delhi NCR,6360.18,5.93
Infiltration Trench,44.08,Gujarat,12816.32,13.84
Recharge Pit,74.38,Maharashtra,13156.51,4.91
Cistern,26.56,Delhi NCR,11639.77,14.61
Recharge Pit,21.93,Maharashtra,5290.02,6.7
Infiltration Trench,25.47,Tamil Nadu,9094.48,11.33
Cistern,17.01,Delhi NCR,9251.71,18.13
Recharge Well,67.65,Maharashtra,28294.56,8.71
Infiltration Trench,179.17,Gujarat,39833.35,10.59
Cistern,23.06,Maharashtra,10764.97,10.37
Rainwater Barrel,44.54,Delhi NCR,5453.83,6.12
Recharge Pit,30.64,Rajasthan,6595.77,14.35
Cistern,41.3,Karnataka,15325.08,9.9
Recharge Pit,56.25,Delhi NCR,10437.87,7.73
Rainwater Barrel,18.7,Karnataka,2869.87,6.14
Cistern,26.07,Delhi NCR,11516.98,14.73
Recharge Well,60.44,Gujarat,26130.67,18.02
Infiltration Trench,42.71,Tamil Nadu,12541.87,9.32
Cistern,39.0,Tamil Nadu,14750.96,11.21
Rainwater Barrel,42.73,Karnataka,5272.75,4.94
Cistern,44.88,West Bengal,16219.48,6.43
Recharge Pit,59.08,West Bengal,10861.9,4.09
Cistern,48.27,Gujarat,17068.42,15.71
Recharge Well,32.29,Maharashtra,17685.83,11.41
Cistern,39.51,Gujarat,14877.15,16.74
Infiltration Trench,32.02,West Bengal,10403.52,6.19
Cistern,22.8,Gujarat,10700.96,20.86
Recharge Pit,32.27,Rajasthan,6840.73,14.13
Cistern,31.28,Punjab,12820.91,15.61
Recharge Well,14.17,West Bengal,12250.26,14.41
Rainwater Barrel,48.79,West Bengal,5878.72,3.21
Cistern,53.1,Delhi NCR,18275.73,11.47
Cistern,43.46,Gujarat,15865.69,16.22
Infiltration Trench,51.54,Gujarat,14307.95,13.22
Recharge Well,30.33,Gujarat,17098.16,23.49
Rainwater Barrel,25.61,Tamil Nadu,3560.95,6.18
Recharge Pit,53.22,Gujarat,9983.15,10.42
Cistern,19.5,West Bengal,9875.94,9.0
Rainwater Barrel,19.17,Delhi NCR,2916.87,7.61
Recharge Pit,41.43,Maharashtra,8214.9,5.51
Recharge Well,40.87,Maharashtra,20260.82,10.33
Recharge Well,52.72,Gujarat,23816.65,18.82
Rainwater Barrel,14.08,Delhi NCR,2408.03,8.55
Recharge Pit,31.54,Rajasthan,6730.4,14.23
Recharge Well,18.82,Maharashtra,13645.42,15.11
Rainwater Barrel,50.79,West Bengal,6078.73,3.19
Recharge Well,64.51,Punjab,27354.05,15.14
Recharge Well,42.62,Tamil Nadu,20785.03,13.55
Recharge Well,25.06,Delhi NCR,15516.52,19.35
Infiltration Trench,22.78,Maharashtra,8555.2,8.94
Recharge Pit,26.95,Maharashtra,6042.91,6.23
