roof_type,roof_age,region,location,runoff_coefficient
Galvanized Iron Sheet,28,Rural,Hisar,0.822
Lime-Finished Roofs,28,Rural,Hisar,0.6421
Modern Composite Sheets,20,Rural,Raichur,0.8229
Metal Roofs,40,Rural,Sambalpur,0.8441
Concrete Roof,26,Rural,Wardha,0.6256
Concrete Roof,32,Rural,Raichur,0.653
Modern Composite Sheets,25,Rural,Shillong,0.8532
Concrete Roof,24,Urban,Pune,0.6381
Terracotta and Clay Tiles,6,Rural,Shillong,0.7944
Tiled Roof,18,Rural,Raichur,0.6971
Galvanized Iron Sheet,6,Urban,Pune,0.8437
Galvanized Iron Sheet,45,Urban,Lucknow,0.8539
Galvanized Iron Sheet,33,Rural,Hisar,0.856
Lime-Finished Roofs,34,Urban,Kolkata,0.6406
Ceramic Tiles,38,Urban,Bengaluru,0.818
Asbestos Sheet,36,Urban,Kolkata,0.7671
Galvanized Iron Sheet,4,Urban,Pune,0.8772
Concrete Roof,38,Rural,Bathinda,0.6418
Terracotta and Clay Tiles,26,Rural,Wardha,0.8059
Modern Composite Sheets,11,Urban,Patna,0.8393
Modern Composite Sheets,45,Urban,Bengaluru,0.8379
Terracotta and Clay Tiles,50,Rural,Sagar,0.7684
Lime-Finished Roofs,20,Urban,Mumbai,0.6558
Asbestos Sheet,23,Rural,Sagar,0.7425
Terracotta and Clay Tiles,22,Urban,Lucknow,0.8354
Concrete Roof,44,Rural,Jaisalmer,0.6497
Modern Composite Sheets,42,Rural,Bathinda,0.8447
Stone Slabs,1,Urban,Lucknow,0.7012
Galvanized Iron Sheet,16,Urban,Mumbai,0.8949
Concrete Roof,31,Urban,Patna,0.6526
Terracotta and Clay Tiles,15,Urban,Chennai,0.8228
Terracotta and Clay Tiles,16,Rural,Tezpur,0.8074
Stone Slabs,22,Urban,Pune,0.7125
Concrete Roof,35,Rural,Shillong,0.6184
Modern Composite Sheets,47,Urban,Jaipur,0.8543
Metal Roofs,48,Rural,Anantapur,0.8389
Terracotta and Clay Tiles,42,Rural,Tezpur,0.7933
Modern Composite Sheets,21,Urban,Kolkata,0.8411
Concrete Roof,35,Rural,Raichur,0.6356
Ceramic Tiles,17,Urban,Mumbai,0.8164
Modern Composite Sheets,50,Rural,Sagar,0.8225
Stone Slabs,23,Urban,Bhopal,0.7334
Concrete Roof,19,Urban,Delhi,0.6838
Stone Slabs,32,Rural,Anantapur,0.6885
Stone Slabs,11,Rural,Hisar,0.7168
Ceramic Tiles,40,Rural,Raichur,0.7895
Lime-Finished Roofs,17,Urban,Delhi,0.6691
Galvanized Iron Sheet,47,Urban,Delhi,0.8543
Galvanized Iron Sheet,39,Urban,Pune,0.8609
Metal Roofs,13,Urban,Delhi,0.8833
Ceramic Tiles,42,Urban,Ahmedabad,0.8059
Terracotta and Clay Tiles,8,Rural,Raichur,0.8134
Metal Roofs,28,Rural,Sambalpur,0.848
Ceramic Tiles,6,Rural,Sambalpur,0.7943
Modern Composite Sheets,45,Rural,Sambalpur,0.8312
Asbestos Sheet,25,Urban,Chennai,0.7663
Stone Slabs,18,Urban,Hyderabad,0.7115
Lime-Finished Roofs,35,Urban,Lucknow,0.6701
Asbestos Sheet,8,Rural,Anantapur,0.7516
Tiled Roof,35,Urban,Delhi,0.7168
Tiled Roof,2,Urban,Bengaluru,0.7186
Galvanized Iron Sheet,29,Rural,Hisar,0.8579
Terracotta and Clay Tiles,48,Rural,Sagar,0.8078
Asbestos Sheet,43,Urban,Kolkata,0.782
Lime-Finished Roofs,1,Rural,Sambalpur,0.6473
Modern Composite Sheets,19,Rural,Jaisalmer,0.809
Galvanized Iron Sheet,48,Urban,Chennai,0.8854
Tiled Roof,32,Rural,Gorakhpur,0.6977
Metal Roofs,36,Rural,Hisar,0.8241
Terracotta and Clay Tiles,6,Rural,Sambalpur,0.7976
Stone Slabs,38,Rural,Wardha,0.7184
Galvanized Iron Sheet,40,Rural,Sambalpur,0.842
Metal Roofs,33,Urban,Bhopal,0.8716
Lime-Finished Roofs,7,Rural,Bathinda,0.6287
Modern Composite Sheets,40,Rural,Shillong,0.8078
Ceramic Tiles,10,Urban,Patna,0.8206
Metal Roofs,29,Rural,Tezpur,0.8587
Galvanized Iron Sheet,13,Urban,Patna,0.8725
Modern Composite Sheets,22,Rural,Gorakhpur,0.8351
Galvanized Iron Sheet,34,Rural,Purnia,0.8635
Modern Composite Sheets,26,Rural,Sagar,0.8552
Ceramic Tiles,49,Urban,Bhopal,0.8032
Modern Composite Sheets,41,Rural,Purnia,0.8394
Tiled Roof,29,Rural,Purnia,0.6791
Lime-Finished Roofs,42,Rural,Jaisalmer,0.6556
Stone Slabs,6,Rural,Wardha,0.7081
Metal Roofs,29,Rural,Jaisalmer,0.8663
Asbestos Sheet,16,Urban,Bhopal,0.7665
Metal Roofs,41,Rural,Shillong,0.848
Concrete Roof,1,Urban,Chennai,0.6859
Terracotta and Clay Tiles,35,Rural,Tezpur,0.7587
Ceramic Tiles,45,Rural,Jaisalmer,0.7727
Metal Roofs,44,Urban,Patna,0.8381
Modern Composite Sheets,48,Rural,Jaisalmer,0.8292
Concrete Roof,18,Rural,Tezpur,0.6599
Concrete Roof,11,Urban,Kolkata,0.6614
Tiled Roof,2,Urban,Bengaluru,0.7121
Tiled Roof,33,Rural,Sambalpur,0.7315
Asbestos Sheet,25,Rural,Gorakhpur,0.7347
Lime-Finished Roofs,13,Rural,Anantapur,0.6589
Metal Roofs,2,Urban,Patna,0.8692
Tiled Roof,37,Rural,Shillong,0.7094
Stone Slabs,8,Rural,Tezpur,0.693
Tiled Roof,13,Urban,Lucknow,0.702
Galvanized Iron Sheet,4,Urban,Lucknow,0.8603
Ceramic Tiles,20,Rural,Raichur,0.7832
Galvanized Iron Sheet,7,Rural,Bathinda,0.8683
Modern Composite Sheets,16,Rural,Gorakhpur,0.8358
Lime-Finished Roofs,36,Rural,Anantapur,0.6487
Stone Slabs,42,Rural,Sagar,0.6848
Lime-Finished Roofs,40,Urban,Kolkata,0.6594
Tiled Roof,11,Urban,Bhopal,0.7397
Asbestos Sheet,37,Rural,Raichur,0.7276
Tiled Roof,24,Urban,Mumbai,0.7112
Galvanized Iron Sheet,47,Rural,Gorakhpur,0.8237
Terracotta and Clay Tiles,13,Rural,Bathinda,0.7742
Terracotta and Clay Tiles,35,Rural,Anantapur,0.8047
Asbestos Sheet,37,Urban,Jaipur,0.7688
Terracotta and Clay Tiles,47,Urban,Pune,0.8199
Stone Slabs,45,Urban,Bengaluru,0.7134
Concrete Roof,39,Urban,Bengaluru,0.6596
Asbestos Sheet,26,Rural,Gorakhpur,0.7098
Tiled Roof,6,Rural,Anantapur,0.6963
Lime-Finished Roofs,40,Urban,Pune,0.659
Lime-Finished Roofs,10,Urban,Patna,0.6425
Ceramic Tiles,44,Rural,Jaisalmer,0.7832
Concrete Roof,44,Urban,Hyderabad,0.6952
Lime-Finished Roofs,4,Rural,Purnia,0.6509
Lime-Finished Roofs,40,Urban,Patna,0.6775
Metal Roofs,50,Rural,Sambalpur,0.845
Stone Slabs,18,Urban,Pune,0.728
Lime-Finished Roofs,31,Rural,Hisar,0.6517
Asbestos Sheet,8,Rural,Gorakhpur,0.7415
Terracotta and Clay Tiles,18,Urban,Bhopal,0.8181
Modern Composite Sheets,11,Rural,Sagar,0.8032
Ceramic Tiles,32,Rural,Purnia,0.7849
Metal Roofs,8,Urban,Ahmedabad,0.8512
Lime-Finished Roofs,10,Urban,Patna,0.6722
Stone Slabs,35,Urban,Ahmedabad,0.6968
Terracotta and Clay Tiles,35,Rural,Sagar,0.7884
Ceramic Tiles,43,Rural,Sambalpur,0.8208
Lime-Finished Roofs,40,Rural,Bathinda,0.6511
Metal Roofs,9,Urban,Kolkata,0.9032
Lime-Finished Roofs,50,Urban,Chennai,0.6784
Asbestos Sheet,1,Rural,Tezpur,0.7268
Modern Composite Sheets,1,Urban,Lucknow,0.8304
Tiled Roof,2,Urban,Bhopal,0.7011
Ceramic Tiles,43,Urban,Mumbai,0.8082
Stone Slabs,20,Urban,Bhopal,0.739
Terracotta and Clay Tiles,2,Urban,Delhi,0.8227
Tiled Roof,34,Urban,Chennai,0.7376
Galvanized Iron Sheet,12,Urban,Patna,0.866
Tiled Roof,25,Urban,Chennai,0.7053
Ceramic Tiles,6,Urban,Bhopal,0.8049
Terracotta and Clay Tiles,40,Urban,Jaipur,0.8088
Terracotta and Clay Tiles,6,Rural,Raichur,0.805
Tiled Roof,50,Urban,Lucknow,0.7239
Terracotta and Clay Tiles,11,Rural,Anantapur,0.8168
Stone Slabs,27,Urban,Hyderabad,0.7247
Asbestos Sheet,17,Rural,Tezpur,0.7468
Metal Roofs,44,Rural,Wardha,0.8562
Terracotta and Clay Tiles,38,Urban,Bengaluru,0.8146
Stone Slabs,3,Urban,Kolkata,0.7129
Modern Composite Sheets,42,Urban,Ahmedabad,0.8424
Stone Slabs,6,Rural,Gorakhpur,0.7068
Galvanized Iron Sheet,1,Rural,Wardha,0.8516
Terracotta and Clay Tiles,33,Urban,Delhi,0.8159
Asbestos Sheet,27,Urban,Kolkata,0.775
Modern Composite Sheets,22,Rural,Gorakhpur,0.8225
Lime-Finished Roofs,30,Rural,Shillong,0.651
Modern Composite Sheets,5,Urban,Delhi,0.8547
Asbestos Sheet,39,Urban,Delhi,0.7558
Stone Slabs,9,Rural,Shillong,0.7278
Stone Slabs,9,Rural,Bathinda,0.6894
Asbestos Sheet,40,Rural,Raichur,0.7689
Stone Slabs,35,Urban,Bhopal,0.7311
Stone Slabs,35,Rural,Wardha,0.6859
Lime-Finished Roofs,20,Urban,Bengaluru,0.6715
Concrete Roof,17,Rural,Wardha,0.6501
Concrete Roof,28,Rural,Wardha,0.6485
Metal Roofs,4,Rural,Shillong,0.84
Metal Roofs,33,Urban,Bhopal,0.8695
Stone Slabs,4,Urban,Ahmedabad,0.7309
Ceramic Tiles,30,Rural,Wardha,0.774
Asbestos Sheet,32,Urban,Chennai,0.7551
Ceramic Tiles,23,Urban,Ahmedabad,0.8351
Tiled Roof,26,Rural,Sambalpur,0.7058
Stone Slabs,17,Rural,Hisar,0.6911
Metal Roofs,37,Urban,Lucknow,0.8595
Ceramic Tiles,36,Urban,Hyderabad,0.8345
Metal Roofs,43,Urban,Jaipur,0.8407
Metal Roofs,12,Rural,Gorakhpur,0.8665
Metal Roofs,19,Urban,Ahmedabad,0.861
Stone Slabs,13,Urban,Delhi,0.7164
Galvanized Iron Sheet,44,Urban,Delhi,0.8686
Concrete Roof,8,Rural,Raichur,0.6444
Galvanized Iron Sheet,39,Urban,Kolkata,0.8887
Stone Slabs,18,Urban,Patna,0.7018
Lime-Finished Roofs,30,Urban,Kolkata,0.6704
Concrete Roof,50,Rural,Anantapur,0.635
Asbestos Sheet,32,Urban,Bengaluru,0.7999
Metal Roofs,20,Rural,Tezpur,0.8627
Concrete Roof,16,Rural,Sambalpur,0.6413
Stone Slabs,43,Rural,Bathinda,0.7182
Ceramic Tiles,29,Rural,Raichur,0.7923
Galvanized Iron Sheet,39,Rural,Sagar,0.855
Galvanized Iron Sheet,42,Rural,Jaisalmer,0.8306
Ceramic Tiles,25,Rural,Hisar,0.799
Modern Composite Sheets,50,Urban,Jaipur,0.8327
Lime-Finished Roofs,10,Rural,Anantapur,0.6295
Ceramic Tiles,35,Urban,Hyderabad,0.8076
Tiled Roof,23,Rural,Sagar,0.6813
Modern Composite Sheets,32,Urban,Ahmedabad,0.8084
Modern Composite Sheets,16,Rural,Purnia,0.8505
Asbestos Sheet,35,Rural,Sambalpur,0.7305
Lime-Finished Roofs,23,Urban,Lucknow,0.6505
Modern Composite Sheets,40,Urban,Chennai,0.8357
Ceramic Tiles,50,Rural,Anantapur,0.7806
Tiled Roof,1,Rural,Raichur,0.6851
Metal Roofs,37,Rural,Anantapur,0.8382
Ceramic Tiles,28,Urban,Bengaluru,0.8093
Metal Roofs,23,Urban,Pune,0.8696
Modern Composite Sheets,50,Rural,Shillong,0.8127
Asbestos Sheet,26,Rural,Gorakhpur,0.7336
Lime-Finished Roofs,24,Rural,Gorakhpur,0.6588
Ceramic Tiles,40,Rural,Jaisalmer,0.7877
Tiled Roof,13,Rural,Purnia,0.7135
Metal Roofs,22,Urban,Pune,0.894
Concrete Roof,32,Rural,Purnia,0.6445
Galvanized Iron Sheet,45,Rural,Raichur,0.8531
Tiled Roof,21,Rural,Raichur,0.6786
Terracotta and Clay Tiles,13,Urban,Chennai,0.7889
Galvanized Iron Sheet,7,Rural,Bathinda,0.8548
Galvanized Iron Sheet,49,Urban,Jaipur,0.8591
Lime-Finished Roofs,39,Rural,Sagar,0.6611
Galvanized Iron Sheet,29,Urban,Chennai,0.8486
Modern Composite Sheets,30,Urban,Ahmedabad,0.8472
Modern Composite Sheets,47,Rural,Sambalpur,0.7983
Galvanized Iron Sheet,12,Rural,Purnia,0.8555
Ceramic Tiles,11,Urban,Lucknow,0.8144
Ceramic Tiles,22,Urban,Mumbai,0.8201
Galvanized Iron Sheet,10,Rural,Anantapur,0.8495
Tiled Roof,43,Rural,Shillong,0.7066
Tiled Roof,9,Rural,Shillong,0.7306
Stone Slabs,7,Urban,Delhi,0.7363
Asbestos Sheet,20,Urban,Lucknow,0.7533
Metal Roofs,44,Rural,Raichur,0.8172
Metal Roofs,26,Rural,Gorakhpur,0.8599
Asbestos Sheet,16,Urban,Jaipur,0.7782
Ceramic Tiles,30,Rural,Sambalpur,0.782
Metal Roofs,17,Urban,Bhopal,0.8821
Ceramic Tiles,20,Rural,Purnia,0.7866
Metal Roofs,24,Urban,Chennai,0.877
Tiled Roof,27,Urban,Bhopal,0.7149
Terracotta and Clay Tiles,4,Urban,Chennai,0.8294
Metal Roofs,4,Urban,Ahmedabad,0.8702
Tiled Roof,25,Rural,Raichur,0.7064
Lime-Finished Roofs,31,Urban,Chennai,0.6632
Metal Roofs,42,Urban,Bengaluru,0.8658
Lime-Finished Roofs,1,Urban,Kolkata,0.6853
Metal Roofs,20,Rural,Hisar,0.8494
Asbestos Sheet,29,Rural,Anantapur,0.749
Galvanized Iron Sheet,36,Rural,Bathinda,0.8492
Metal Roofs,49,Urban,Pune,0.8567
Tiled Roof,32,Rural,Gorakhpur,0.7066
Metal Roofs,19,Rural,Anantapur,0.8236
Concrete Roof,39,Rural,Sambalpur,0.6367
Asbestos Sheet,4,Rural,Sagar,0.7458
Asbestos Sheet,49,Urban,Ahmedabad,0.7425
Terracotta and Clay Tiles,50,Rural,Sagar,0.7938
Stone Slabs,29,Urban,Kolkata,0.7157
Metal Roofs,4,Urban,Delhi,0.8528
Stone Slabs,42,Rural,Sambalpur,0.6974
Galvanized Iron Sheet,39,Rural,Jaisalmer,0.808
Lime-Finished Roofs,41,Urban,Pune,0.7045
Tiled Roof,17,Rural,Bathinda,0.7001
Ceramic Tiles,37,Rural,Jaisalmer,0.8121
Modern Composite Sheets,37,Rural,Sagar,0.8144
Galvanized Iron Sheet,31,Rural,Gorakhpur,0.8715
Stone Slabs,48,Rural,Shillong,0.6819
Tiled Roof,47,Rural,Anantapur,0.7126
Concrete Roof,48,Urban,Mumbai,0.6781
Terracotta and Clay Tiles,37,Rural,Gorakhpur,0.8131
Concrete Roof,15,Urban,Chennai,0.6383
Modern Composite Sheets,3,Rural,Sagar,0.8442
Terracotta and Clay Tiles,42,Rural,Gorakhpur,0.7722
Stone Slabs,44,Rural,Bathinda,0.6902
Galvanized Iron Sheet,27,Rural,Wardha,0.849
Metal Roofs,38,Urban,Bengaluru,0.8732
Modern Composite Sheets,31,Rural,Bathinda,0.8076
Metal Roofs,15,Urban,Ahmedabad,0.8334
Asbestos Sheet,5,Urban,Kolkata,0.7601
Metal Roofs,31,Urban,Hyderabad,0.8645
Concrete Roof,32,Rural,Wardha,0.6553
Lime-Finished Roofs,6,Rural,Shillong,0.6602
Terracotta and Clay Tiles,40,Urban,Lucknow,0.823
Metal Roofs,36,Urban,Bengaluru,0.8597
Galvanized Iron Sheet,8,Rural,Tezpur,0.8537
Ceramic Tiles,46,Urban,Bengaluru,0.7986
Stone Slabs,36,Rural,Bathinda,0.7057
Stone Slabs,50,Urban,Bhopal,0.7048
Concrete Roof,35,Rural,Hisar,0.634
Terracotta and Clay Tiles,9,Urban,Lucknow,0.7874
Galvanized Iron Sheet,35,Rural,Anantapur,0.8391
Terracotta and Clay Tiles,2,Rural,Sagar,0.783
Ceramic Tiles,21,Urban,Delhi,0.8435
Ceramic Tiles,46,Urban,Bhopal,0.7964
Lime-Finished Roofs,7,Urban,Jaipur,0.6812
Stone Slabs,49,Urban,Hyderabad,0.7017
Lime-Finished Roofs,9,Urban,Jaipur,0.702
Galvanized Iron Sheet,25,Urban,Bengaluru,0.8562
Tiled Roof,14,Urban,Chennai,0.733
Terracotta and Clay Tiles,32,Rural,Shillong,0.7997
Modern Composite Sheets,18,Rural,Raichur,0.8116
Modern Composite Sheets,3,Urban,Patna,0.8603
Tiled Roof,2,Urban,Hyderabad,0.7134
Modern Composite Sheets,14,Urban,Hyderabad,0.8445
Tiled Roof,35,Urban,Bhopal,0.7087
Stone Slabs,46,Rural,Anantapur,0.7077
Terracotta and Clay Tiles,31,Urban,Jaipur,0.8456
Metal Roofs,45,Urban,Delhi,0.8671
Asbestos Sheet,12,Rural,Jaisalmer,0.7634
Asbestos Sheet,48,Urban,Hyderabad,0.7643
Lime-Finished Roofs,48,Rural,Hisar,0.6482
Terracotta and Clay Tiles,13,Urban,Bengaluru,0.8631
Tiled Roof,4,Urban,Hyderabad,0.7295
Stone Slabs,9,Urban,Delhi,0.7122
Asbestos Sheet,23,Rural,Sambalpur,0.7631
Asbestos Sheet,41,Rural,Jaisalmer,0.7394
Terracotta and Clay Tiles,8,Rural,Bathinda,0.7938
Stone Slabs,38,Rural,Hisar,0.6644
Lime-Finished Roofs,3,Rural,Purnia,0.6322
Asbestos Sheet,11,Rural,Shillong,0.7349
Modern Composite Sheets,13,Urban,Chennai,0.8459
Lime-Finished Roofs,28,Urban,Chennai,0.6665
Tiled Roof,27,Urban,Bengaluru,0.7612
Concrete Roof,33,Rural,Anantapur,0.6367
Asbestos Sheet,26,Rural,Sambalpur,0.7375
Asbestos Sheet,8,Urban,Pune,0.7901
Modern Composite Sheets,49,Urban,Pune,0.8135
Stone Slabs,41,Urban,Jaipur,0.7226
Concrete Roof,5,Urban,Lucknow,0.6716
Galvanized Iron Sheet,25,Rural,Sagar,0.8307
Concrete Roof,29,Urban,Patna,0.6598
Stone Slabs,5,Rural,Anantapur,0.7237
Lime-Finished Roofs,15,Rural,Sagar,0.66
Stone Slabs,9,Urban,Bengaluru,0.6956
Metal Roofs,44,Urban,Chennai,0.8759
Metal Roofs,38,Rural,Gorakhpur,0.857
Asbestos Sheet,42,Rural,Sambalpur,0.7152
Modern Composite Sheets,6,Urban,Chennai,0.8292
Asbestos Sheet,22,Urban,Ahmedabad,0.7602
Modern Composite Sheets,6,Rural,Sagar,0.8608
Concrete Roof,4,Urban,Ahmedabad,0.6794
Galvanized Iron Sheet,3,Urban,Kolkata,0.8605
Concrete Roof,49,Urban,Jaipur,0.6869
Lime-Finished Roofs,29,Urban,Delhi,0.6923
Ceramic Tiles,28,Urban,Patna,0.8217
Galvanized Iron Sheet,2,Rural,Jaisalmer,0.8626
Concrete Roof,30,Rural,Shillong,0.6099
Concrete Roof,11,Rural,Bathinda,0.6427
Modern Composite Sheets,2,Urban,Lucknow,0.8662
Asbestos Sheet,49,Urban,Delhi,0.7647
Concrete Roof,23,Rural,Gorakhpur,0.6372
Galvanized Iron Sheet,18,Urban,Hyderabad,0.8699
Terracotta and Clay Tiles,14,Urban,Hyderabad,0.8142
Ceramic Tiles,28,Urban,Bhopal,0.7967
Metal Roofs,1,Urban,Pune,0.8644
Concrete Roof,17,Urban,Lucknow,0.6879
Stone Slabs,1,Rural,Tezpur,0.6985
Galvanized Iron Sheet,3,Urban,Hyderabad,0.827
Modern Composite Sheets,48,Urban,Mumbai,0.8639
Stone Slabs,4,Urban,Bengaluru,0.7222
Modern Composite Sheets,15,Urban,Ahmedabad,0.8388
Asbestos Sheet,46,Urban,Chennai,0.7389
Modern Composite Sheets,3,Urban,Patna,0.8347
Modern Composite Sheets,48,Urban,Jaipur,0.8345
Ceramic Tiles,5,Urban,Jaipur,0.8111
Stone Slabs,7,Rural,Raichur,0.6663
Asbestos Sheet,26,Urban,Chennai,0.7801
Terracotta and Clay Tiles,32,Rural,Sambalpur,0.8038
Metal Roofs,20,Rural,Purnia,0.85
Ceramic Tiles,42,Urban,Kolkata,0.8078
Tiled Roof,34,Urban,Jaipur,0.7079
Modern Composite Sheets,38,Urban,Mumbai,0.8333
Lime-Finished Roofs,45,Urban,Lucknow,0.6547
Terracotta and Clay Tiles,33,Urban,Chennai,0.8167
Asbestos Sheet,32,Urban,Ahmedabad,0.7372
Ceramic Tiles,48,Urban,Patna,0.7833
Lime-Finished Roofs,10,Urban,Hyderabad,0.6613
Galvanized Iron Sheet,13,Rural,Wardha,0.8378
Stone Slabs,37,Rural,Wardha,0.7106
Asbestos Sheet,8,Urban,Patna,0.7371
Modern Composite Sheets,49,Rural,Anantapur,0.8175
Asbestos Sheet,16,Rural,Wardha,0.7101
Concrete Roof,50,Urban,Chennai,0.6833
Metal Roofs,12,Urban,Mumbai,0.8721
Modern Composite Sheets,13,Urban,Jaipur,0.8339
Tiled Roof,48,Rural,Sagar,0.6779
Concrete Roof,28,Rural,Anantapur,0.6473
Terracotta and Clay Tiles,50,Rural,Bathinda,0.7992
Lime-Finished Roofs,14,Urban,Delhi,0.6624
Asbestos Sheet,22,Urban,Chennai,0.7402
Tiled Roof,10,Urban,Ahmedabad,0.7161
Terracotta and Clay Tiles,8,Rural,Sambalpur,0.812
Asbestos Sheet,20,Urban,Lucknow,0.8027
Terracotta and Clay Tiles,5,Rural,Anantapur,0.7705
Asbestos Sheet,28,Urban,Lucknow,0.7621
Modern Composite Sheets,10,Urban,Pune,0.8539
Concrete Roof,40,Rural,Sambalpur,0.6415
Modern Composite Sheets,5,Urban,Kolkata,0.8445
Stone Slabs,24,Urban,Jaipur,0.7064
Galvanized Iron Sheet,32,Urban,Hyderabad,0.8602
Terracotta and Clay Tiles,40,Rural,Shillong,0.805
Modern Composite Sheets,46,Urban,Jaipur,0.8375
Metal Roofs,44,Rural,Anantapur,0.8316
Modern Composite Sheets,39,Urban,Chennai,0.8382
Asbestos Sheet,38,Urban,Hyderabad,0.7792
Tiled Roof,35,Rural,Sagar,0.659
Asbestos Sheet,30,Urban,Bhopal,0.7837
Stone Slabs,34,Rural,Raichur,0.6967
Modern Composite Sheets,32,Urban,Jaipur,0.86
Stone Slabs,44,Urban,Ahmedabad,0.7206
Tiled Roof,30,Urban,Bhopal,0.6899
Ceramic Tiles,49,Urban,Ahmedabad,0.821
Terracotta and Clay Tiles,18,Urban,Delhi,0.7908
Tiled Roof,40,Urban,Ahmedabad,0.7046
Ceramic Tiles,38,Urban,Mumbai,0.7638
Terracotta and Clay Tiles,33,Urban,Lucknow,0.819
Modern Composite Sheets,34,Rural,Purnia,0.822
Galvanized Iron Sheet,5,Rural,Raichur,0.8337
Galvanized Iron Sheet,3,Urban,Hyderabad,0.8934
Asbestos Sheet,37,Rural,Tezpur,0.7509
Metal Roofs,17,Urban,Ahmedabad,0.8607
Concrete Roof,26,Rural,Gorakhpur,0.6607
Ceramic Tiles,46,Urban,Bhopal,0.831
Modern Composite Sheets,25,Urban,Mumbai,0.8548
Stone Slabs,10,Urban,Mumbai,0.7285
Concrete Roof,9,Rural,Wardha,0.6597
Asbestos Sheet,45,Rural,Raichur,0.748
Concrete Roof,4,Rural,Anantapur,0.6336
Galvanized Iron Sheet,13,Urban,Kolkata,0.8859
Asbestos Sheet,26,Urban,Hyderabad,0.7646
Ceramic Tiles,33,Rural,Sagar,0.8159
Asbestos Sheet,42,Rural,Jaisalmer,0.7471
Metal Roofs,11,Rural,Purnia,0.8466
Ceramic Tiles,26,Urban,Ahmedabad,0.8248
Modern Composite Sheets,23,Urban,Pune,0.841
Tiled Roof,6,Urban,Lucknow,0.7483
Concrete Roof,34,Rural,Tezpur,0.6578
Lime-Finished Roofs,46,Rural,Raichur,0.656
Modern Composite Sheets,8,Rural,Sagar,0.8103
Concrete Roof,28,Rural,Sambalpur,0.6222
Terracotta and Clay Tiles,24,Urban,Chennai,0.8151
Lime-Finished Roofs,37,Urban,Hyderabad,0.6618
Galvanized Iron Sheet,37,Urban,Ahmedabad,0.8577
Modern Composite Sheets,5,Urban,Jaipur,0.8496
Ceramic Tiles,46,Rural,Purnia,0.8095
Metal Roofs,11,Urban,Patna,0.8667
Terracotta and Clay Tiles,50,Rural,Jaisalmer,0.7756
Galvanized Iron Sheet,33,Rural,Gorakhpur,0.8658
Ceramic Tiles,37,Rural,Sambalpur,0.814
Lime-Finished Roofs,48,Rural,Raichur,0.6563
Metal Roofs,18,Urban,Chennai,0.8891
Lime-Finished Roofs,43,Urban,Pune,0.6808
Terracotta and Clay Tiles,17,Rural,Tezpur,0.7995
Stone Slabs,24,Rural,Tezpur,0.6562
Concrete Roof,43,Urban,Chennai,0.6567
Lime-Finished Roofs,24,Urban,Jaipur,0.6466
Lime-Finished Roofs,42,Rural,Sagar,0.6493
Tiled Roof,18,Rural,Raichur,0.7014
Asbestos Sheet,18,Urban,Bengaluru,0.744
Concrete Roof,43,Urban,Jaipur,0.6295
Stone Slabs,21,Rural,Purnia,0.7376
Lime-Finished Roofs,35,Rural,Wardha,0.631
Modern Composite Sheets,7,Rural,Jaisalmer,0.7937
Lime-Finished Roofs,33,Urban,Delhi,0.6517
Lime-Finished Roofs,34,Urban,Kolkata,0.6538
Tiled Roof,16,Urban,Jaipur,0.7231
Ceramic Tiles,37,Rural,Tezpur,0.8091
Lime-Finished Roofs,9,Urban,Lucknow,0.6909
Concrete Roof,37,Urban,Ahmedabad,0.6449
Asbestos Sheet,6,Urban,Hyderabad,0.7472
Modern Composite Sheets,5,Rural,Gorakhpur,0.828
Concrete Roof,5,Rural,Bathinda,0.6528
Galvanized Iron Sheet,15,Urban,Kolkata,0.8614
Metal Roofs,30,Rural,Raichur,0.8389
Terracotta and Clay Tiles,42,Rural,Jaisalmer,0.8034
Modern Composite Sheets,46,Rural,Raichur,0.8201
Terracotta and Clay Tiles,46,Rural,Jaisalmer,0.7968
Metal Roofs,48,Rural,Gorakhpur,0.8331
Concrete Roof,36,Urban,Kolkata,0.6842
Ceramic Tiles,24,Urban,Ahmedabad,0.7884
Concrete Roof,23,Urban,Bengaluru,0.6723
Asbestos Sheet,28,Rural,Jaisalmer,0.7525
Stone Slabs,36,Rural,Sagar,0.6974
Galvanized Iron Sheet,46,Rural,Shillong,0.8558
Ceramic Tiles,33,Rural,Tezpur,0.8136
Stone Slabs,18,Urban,Delhi,0.7199
Modern Composite Sheets,31,Rural,Sagar,0.8234
Modern Composite Sheets,20,Rural,Tezpur,0.8254
Concrete Roof,17,Urban,Ahmedabad,0.6876
Modern Composite Sheets,27,Rural,Hisar,0.8342
Concrete Roof,20,Urban,Delhi,0.6686
Asbestos Sheet,35,Rural,Raichur,0.7227
Stone Slabs,4,Urban,Patna,0.7052
Terracotta and Clay Tiles,11,Rural,Wardha,0.8009
Terracotta and Clay Tiles,19,Urban,Bengaluru,0.8312
Ceramic Tiles,49,Urban,Chennai,0.8245
Galvanized Iron Sheet,25,Rural,Jaisalmer,0.8471
Stone Slabs,29,Rural,Hisar,0.7024
Asbestos Sheet,26,Rural,Hisar,0.7373
Modern Composite Sheets,31,Urban,Patna,0.8313
Modern Composite Sheets,38,Urban,Kolkata,0.8413
Terracotta and Clay Tiles,34,Urban,Lucknow,0.7807
Terracotta and Clay Tiles,33,Rural,Sambalpur,0.7912
